date,namespace,contract_address,daily_incoming_txs,daily_active_users,daily_gas_used,daily_gas_cost_sei,daily_rank_within_namespace
2025-01-30 00:00:00.000 UTC,beefy finance,0x730c6f352e585ea0c29e30f8abae1fc2117a1035,1,1,975737,0.002528999286595614,1
2025-01-30 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001002,81,58,31192553,0.06249010328588741,1
2025-01-30 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001004,227,6,14855771,0.05090811013087262,2
2025-01-30 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001005,81,76,5895692,0.007558684030591416,3
2025-01-30 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001007,36,34,3939481,0.004873331680418186,4
2025-01-30 00:00:00.000 UTC,bnb_system,0x0000000000000000000000000000000000001001,23,12,1118338,0.001638689970341831,5
2025-01-30 00:00:00.000 UTC,carbon_defi,0xc56eb3d03c5d7720daf33a3718affb9bcab03fbc,1636,3,868134946,1.085709757545904,1
2025-01-30 00:00:00.000 UTC,carbon_defi,0xe4816658ad10bf215053c533cceae3f59e1f1087,3,2,940986,0.001077188435969546,2
2025-01-30 00:00:00.000 UTC,compound_v3,0x2f925542d1689258be55f87e17fcd8b7480d76f0,1,1,62735,0.006336235,1
2025-01-30 00:00:00.000 UTC,curate,0x2c80179883217370f777e76c067eea91d8283c5c,2,2,54578,0.0000709514,1
2025-01-30 00:00:00.000 UTC,deterministic deployer,0x4e59b44847b379578588920ca78fbf26c0b4956c,24,1,27401991,0.030162826718650153,1
2025-01-30 00:00:00.000 UTC,dragon_swap,0xa4cf2f53d1195addde9e4d3aca54f556895712f2,233,22,78839344,8.489717877565461,1
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x11da6463d6cb5a03411dbf5ab6f6bc3997ac7428,9211,359,1357072875,9.900392272575212,1
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0x47595f7f86f72a4a7c2b33858b2d1a448f663234,2,1,258657,0.000543267913164822,2
2025-01-30 00:00:00.000 UTC,dragon_swap_sei_v2,0xd0553a0853c57267c1f2e212347002b052595558,2,1,207870,0.000436527,3
